"0%","20%","35%","50%","65%","80%",
"5",139,88,2241,9431,125,
"10",1816,984,18690,2600,8581,
"15",6365,8614,9463,17201,2205,
"20",3954,3444,15929,2061,6927,
"25",24377,14981,34156,54124,10112,
"30",10055,42310,37036,50938,10453,
"35",17881,27997,53700,37671,5098,
"40",6583,56406,36052,107836,98655,
"45",12149,55622,26413,105368,167633,
"50",26973,22525,52063,39335,7104,
